contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,from,to,value
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x728e1ffce1e7996af22f3c5c796ca355f59dcc925caa74ae4757e68213207afa,250,2023-06-06 08:22:28.000 UTC,2.8859378e+07,0xa74153714a7f7226917221d453c0a20c5fb8e7b5,0x18880d4ca29989c3366d7b3c4fdab32ea5c06287,1070326291276497
0x5156eb52d8dbae9dd21f504f7319fb94d7b2ba97,0x728e1ffce1e7996af22f3c5c796ca355f59dcc925caa74ae4757e68213207afa,297,2023-06-06 08:22:28.000 UTC,2.8859378e+07,0x0000000000000000000000000000000000000000,0x18880d4ca29989c3366d7b3c4fdab32ea5c06287,860389465253168537279
0x2952beb1326accbb5243725bd4da2fc937bca087,0x3ed3a86a04c3a8789eed42c5fa17cffdb45f97e5dd6b817a3e7e72269a7193c2,187,2023-06-06 08:19:57.000 UTC,2.8859328e+07,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,0x18880d4ca29989c3366d7b3c4fdab32ea5c06287,379113393141
0x339685503dd534d27ce4a064314c2e5c7144aa92,0x14e5e800be0f2f4497d3b59976661c40800f58e44e4295466ca2312db3358cdb,229,2023-06-06 08:20:21.000 UTC,2.8859336e+07,0x0000000000000000000000000000000000000000,0x18880d4ca29989c3366d7b3c4fdab32ea5c06287,293260081458947664102
0x59c49b54d4425c7ff1e49f40958a14d48cc87c26,0x93a8593118f9dbff8b5690d8245a86c72f25cd7d92a9682a21505bdc9a83ae58,282,2023-06-01 13:41:32.000 UTC,2.8722114e+07,0x20af748bef9ff8a31394113643883f0d8a5e1812,0x4e9051de9dfab338ba5d00d42718ac3ef6f0ec3d,3210142641736317999
0x20f663cea80face82acdfa3aae6862d246ce0333,0x72d0c96b2c0cda612f1defd43b0fc56d2a0e98d243b15b49238aba0f945a7def,186,2023-06-05 19:54:45.000 UTC,2.8844491e+07,0xffe811714ab35360b67ee195ace7c10d93f89d8c,0x12dc11004f88c4b114f9a640bf56bb85038dc027,158763838298381323041
0x55d398326f99059ff775485246999027b3197955,0x264afd7f3872a556fbb36b711a7364cfcde6dc2f18a9f923b36c48afc4f2b3af,2,2023-06-05 19:55:33.000 UTC,2.8844507e+07,0xa180fe01b906a1be37be6c534a3300785b20d947,0x334256ee41a63bd7c34d97eb37252b271af0763e,501710000000000000000
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x22b1b09e99737f24ce02f37f02fed99dd6b8c171cd80fd257070520632b13712,6,2023-06-05 19:55:39.000 UTC,2.8844509e+07,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,0x10242af6eb379a1bb6c6959028ea1bc62b5b5a0a,1934160000000000
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x601679c72d1308e9e4b62f87c16e6f6341d54b05344a65f455577a81d5ad61e3,79,2023-06-05 19:59:42.000 UTC,2.884459e+07,0x369482c78bad380a036cab827fe677c1903d1523,0x4754541109a3d8d7747d99dfc6125b3239355913,13498210185974635
0xe9e7cea3dedca5984780bafc599bd69add087d56,0x601679c72d1308e9e4b62f87c16e6f6341d54b05344a65f455577a81d5ad61e3,80,2023-06-05 19:59:42.000 UTC,2.884459e+07,0x369482c78bad380a036cab827fe677c1903d1523,0x4754541109a3d8d7747d99dfc6125b3239355913,670718529368387207625
